"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;Фото;Описание
Наматрасник;Полиуритан;"AlViTek (АльВиТек)";Россия;;МПУ-6-80;80х200;;Упругая;;;;;"6 см";Пенополиуритан;;;"18 кг/куб.м";;;Микрофибра;"100%  пэ";Молния;;;Резинка;;Кант;Пакет;;;;;4607048003800;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"МПУ-6-080 Наматрацник ""Полиуритан"" (80х200х6)";4;956;http://alvitek.com.ru/upload/iblock/a03/a030d188c41899fdddd6a37fd634b4ce.jpeg;"матрас полиуретановый, чехол - на молнии с резинками, ткань - микрофибра , наполнитель - полиэфир (вспененный полиуретан повышенной плотности), высота - 6см, бирка, упаковка - пленка ПЭ"
Простыня;;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-20;180х214;;;;;;Обычная;;;;;;;;Бязь;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048005033;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"Простынь 180*214 ткань хлопок ПР-20";36;359;http://alvitek.com.ru/upload/iblock/6fe/6fe283b2db98abec806f35fe329210ba.jpeg;"ткань-бязь(хлопок 100%), бирка, постер, пакет"
Подушка;Антикризис;"AlViTek (АльВиТек)";Россия;;СП-060;60х60;;Средняя;;;;;;"Холфит-шарики (15dх64)";;;"0,56 кг";;;Спанбонд;"100%  полипропилен";;;;;;;Пакет;;;;;2000702370270;;Белый;;;"Тональность изделия может отличаться от фото";;;;;"СП-060 Подушка 60х60 чехол спанбонд нап. холфит(500гр)";21;143;http://alvitek.com.ru/upload/iblock/b6c/b6ca07e6ff14b47ce4e3563c411e82f4.jpeg;"подушка с наполнителем ""Холфит-шарики""   (500 гр. полое силиконизированное волокно 15Dx64  ), чехол - ткань спандбонд (100% ПЭ), без канта, бирка"
"Набор полотенец";;"Метеор Текстиль";Турция;;"Метеор -9202";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521022;;;;;"Тональность изделия может отличаться от фото";;;;;"9202 Кофе В  (40х60)х2шт в коробке Набор кухонный Метеор";13;197;http://alvitek.com.ru/upload/iblock/940/94084a7aea9ae4f06e5eb34cb351d81c.jpeg;
"Набор полотенец";;"Метеор Текстиль";Турция;;"Метеор -9203";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521039;;;;;"Тональность изделия может отличаться от фото";;;;;"9203 Фрукты В  (40х60)х2шт в коробке Набор кухонный Метеор";14;202;http://alvitek.com.ru/upload/iblock/b24/b242a2c45b0522329a69d7cf1cf74aac.jpeg;
"Набор полотенец";;"Метеор Текстиль";Турция;;"Метеор -9221";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"3 шт.";;;2000925521060;;;;;"Тональность изделия может отличаться от фото";;;;;"9221 Поварята В  (40х60)х3шт в коробке Набор кухонный Метеор";12;281;http://alvitek.com.ru/upload/iblock/9ec/9ec3251b604e40b869ca02111d0900f0.jpeg;
"Набор полотенец";;"Метеор Текстиль";Турция;;"Метеор -8393";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"3 шт.";;;2000925521053;;;;;"Тональность изделия может отличаться от фото";;;;;"8393 Поварята В  (40х60)х3шт в коробке Набор кухонный Метеор";25;281;http://alvitek.com.ru/upload/iblock/e82/e8212f170630c5300d52e00b61f269cd.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-4;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514666;;;;;"Тональность изделия может отличаться от фото";;;;;"L-4 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1854;http://alvitek.com.ru/upload/iblock/6a7/6a7ce7869766ae000c96a449a41d9495.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-5;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514673;;;;;"Тональность изделия может отличаться от фото";;;;;"L-5 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1854;http://alvitek.com.ru/upload/iblock/202/202c0b6c2d1007f92d6173783aa91378.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-7;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514697;;;;;"Тональность изделия может отличаться от фото";;;;;"L-7 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";2;1854;http://alvitek.com.ru/upload/iblock/c70/c70f4ba9c0aa581128af0aadab5ba0b8.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-8;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514703;;;;;"Тональность изделия может отличаться от фото";;;;;"L-8 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1854;http://alvitek.com.ru/upload/iblock/fb2/fb2496ec3230e218e8b31b101bd9d420.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-9;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514710;;;;;"Тональность изделия может отличаться от фото";;;;;"L-9 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";3;1854;http://alvitek.com.ru/upload/iblock/9e7/9e71e1380d0a1f1c5294534404eb6123.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-11;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514611;;;;;"Тональность изделия может отличаться от фото";;;;;"L- 11 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";3;1854;http://alvitek.com.ru/upload/iblock/065/06561f2cbe7a4dade8d8039e328b65db.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-2;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514765;;;;;"Тональность изделия может отличаться от фото";;;;;"L-2 КПБ 2сп сатин Однотонный ""САЙЛИД""";1;2415;http://alvitek.com.ru/upload/iblock/5cc/5cc943c2fca201962f38fce24c3cbef4.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-3;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514772;;;;;"Тональность изделия может отличаться от фото";;;;;"L-3 КПБ 2сп сатин Однотонный ""САЙЛИД""";2;2415;http://alvitek.com.ru/upload/iblock/86d/86d5b4518ee4cdf8abd48c1971124b34.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-5;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514802;;;;;"Тональность изделия может отличаться от фото";;;;;"L-5 КПБ 2сп сатин Однотонный ""САЙЛИД""";1;2415;http://alvitek.com.ru/upload/iblock/602/6024660861c75b471286a052c5eb5b6b.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-6;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514796;;;;;"Тональность изделия может отличаться от фото";;;;;"L-6 КПБ 2сп сатин Однотонный ""САЙЛИД""";3;2415;http://alvitek.com.ru/upload/iblock/ceb/cebd9681abf92c1098f470f604570184.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-7;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514819;;;;;"Тональность изделия может отличаться от фото";;;;;"L-7 КПБ 2сп сатин Однотонный ""САЙЛИД""";2;2415;http://alvitek.com.ru/upload/iblock/347/347c443bdd7c5df6ee06671988567a13.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-8;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514826;;;;;"Тональность изделия может отличаться от фото";;;;;"L-8 КПБ 2сп сатин Однотонный ""САЙЛИД""";2;2415;http://alvitek.com.ru/upload/iblock/94d/94da70e078896fdb4cb1128e80ad7fe5.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-9;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514833;;;;;"Тональность изделия может отличаться от фото";;;;;"L-9 КПБ 2сп сатин Однотонный ""САЙЛИД""";1;2415;http://alvitek.com.ru/upload/iblock/801/801b56974952feb901143dd157df05f1.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-10;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514727;;;;;"Тональность изделия может отличаться от фото";;;;;"L- 10 КПБ 2сп сатин Однотонный ""САЙЛИД""";2;2415;http://alvitek.com.ru/upload/iblock/c09/c09a8cea7227da974a118b80a3c0b1c7.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-11;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514734;;;;;"Тональность изделия может отличаться от фото";;;;;"L- 11 КПБ 2сп сатин Однотонный ""САЙЛИД""";4;2415;http://alvitek.com.ru/upload/iblock/5b0/5b0a501f13d73a76cf73c553adf485db.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-евро-2;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514888;;;;;"Тональность изделия может отличаться от фото";;;;;"L-2 КПБ Евро сатин Однотонный ""САЙЛИД""";1;2724;http://alvitek.com.ru/upload/iblock/0a5/0a5d0f4099542ba498a9ff7a037bce7d.jpeg;
"Одеяло байковое";;Ермолино;Россия;;"ОБ-215х150 5772ВЖ-бежевое";150х215;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925531960;;Голубой;;;"Тональность изделия может отличаться от фото";;;;"75% х/б +25% вискоза";"Бежевое Байковое жаккард 215х150 арт. 5772ВЖ  75% х/б +25% вискоза  Ермолино одеяло";48;653;http://alvitek.com.ru/upload/iblock/38f/38f52326566937e16e4d3c00503bda20.jpeg;"Одеяло ""Байковые"", 75% х/б +25% вискоза"
"Одеяло байковое";;Ермолино;Россия;;"ОБ-100х140 57-5ЕТОЖ-беж";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925531922;;Бирюзовый;;;"Тональность изделия может отличаться от фото";;;;"90% х/б+10%ПАН";"Бежевое Байковое  100х140  арт. 57-5ЕТОЖ 90% х/б  Ермолино одеяло";1;365;http://alvitek.com.ru/upload/iblock/056/056bad5d93571abed09e9efa63ea9d61.jpeg;"Одеяло ""Байковые"", хлопок - 90%, ПАН - 10%"
