"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;Фото;Описание
Покрывало;;Марианна;Россия;;П-ло-150-Barokko-18-007;150х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565316;;;;;"Тональность изделия может отличаться от фото";;;;;"18-007 150х220 Barokko Покрывало ультрастеп Марианна";7;380;http://alvitek.com.ru/upload/iblock/dc3/dc35f2fa404b9900b30c540694f5ae8d.jpeg;
Покрывало;;Марианна;Россия;;П-ло-150-Barokko-18-001;150х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565309;;;;;"Тональность изделия может отличаться от фото";;;;;"18-001 150х220 Barokko Покрывало ультрастеп Марианна";7;380;http://alvitek.com.ru/upload/iblock/5b9/5b975843bea86a385b03ad4975063d4b.jpeg;
Покрывало;;Марианна;Россия;;"П-ло 150-El-18-854";150х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565484;;;;;"Тональность изделия может отличаться от фото";;;;;"18-854 150х220  ""Elegant"" Покрывало ультрастеп Марианна";7;380;http://alvitek.com.ru/upload/iblock/1d9/1d97a44a7aa404ba3b4b1bf82b803fa4.jpeg;
Покрывало;;Марианна;Россия;;"П-ло 150-El-18-014";150х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565477;;;;;"Тональность изделия может отличаться от фото";;;;;"18-014 150х220  ""Elegant"" Покрывало ультрастеп Марианна";7;380;http://alvitek.com.ru/upload/iblock/4b8/4b820c3fc07aadee24fb97c6471ae220.jpeg;
Покрывало;;Марианна;Россия;;"П-ло 150-El-18-008";150х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565453;;;;;"Тональность изделия может отличаться от фото";;;;;"18-008 150х220  ""Elegant"" Покрывало ультрастеп Марианна";7;380;http://alvitek.com.ru/upload/iblock/5af/5afb5623064ccb7c73049d4c770dce4f.jpeg;
Покрывало;;Марианна;Россия;;"П-ло 150-El-18-004";150х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565439;;;;;"Тональность изделия может отличаться от фото";;;;;"18-004 150х220  ""Elegant"" Покрывало ультрастеп Марианна";7;380;http://alvitek.com.ru/upload/iblock/66a/66a15c7a77da162dc28d5e0f414acd9f.jpeg;
Покрывало;;Марианна;Россия;;"П-ло 150-El-18-006";150х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565446;;;;;"Тональность изделия может отличаться от фото";;;;;"18-006 150х220  ""Elegant"" Покрывало ультрастеп Марианна";7;380;http://alvitek.com.ru/upload/iblock/260/2601d271d664be0ac2ac53a3dc1b0a90.jpeg;
Покрывало;;Марианна;Россия;;"П-ло 150-El-18-002";150х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565422;;;;;"Тональность изделия может отличаться от фото";;;;;"18-002 150х220  ""Elegant"" Покрывало ультрастеп Марианна";7;380;http://alvitek.com.ru/upload/iblock/62a/62adb0dbb72a8e69aed5ec25df8d8a7d.jpeg;
Покрывало;;Марианна;Россия;;"П-ло 150-El-18-012";150х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565460;;;;;"Тональность изделия может отличаться от фото";;;;;"18-012 150х220  ""Elegant"" Покрывало ультрастеп Марианна";7;380;http://alvitek.com.ru/upload/iblock/aa9/aa927a013cd706a9eea5ce32beec1b0e.jpeg;
Покрывало;;Марианна;Россия;;П-ло-200-El-18-854;200х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565620;;;;;"Тональность изделия может отличаться от фото";;;;;"18-854 200х220 ""Elegant"" ультрастеп Покрывало Марианна";7;437;http://alvitek.com.ru/upload/iblock/099/099477ce75d4811a565b4da6eb1e0721.jpeg;
Покрывало;;Марианна;Россия;;П-ло-200-El-18-014;200х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565613;;;;;"Тональность изделия может отличаться от фото";;;;;"18-014 200х220 ""Elegant"" ультрастеп Покрывало Марианна";7;437;http://alvitek.com.ru/upload/iblock/f0f/f0fee1246e97eab384950346834664c9.jpeg;
Покрывало;;Марианна;Россия;;П-ло-200-El-18-008;200х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565590;;;;;"Тональность изделия может отличаться от фото";;;;;"18-008 200х220 ""Elegant"" ультрастеп Покрывало Марианна";7;437;http://alvitek.com.ru/upload/iblock/cd4/cd46c2a02c8819bf3c3bec242c3a2a75.jpeg;
Покрывало;;Марианна;Россия;;П-ло-200-El-18-004;200х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565576;;;;;"Тональность изделия может отличаться от фото";;;;;"18-004 200х220 ""Elegant"" ультрастеп Покрывало Марианна";7;437;http://alvitek.com.ru/upload/iblock/02a/02a6931a376d2e2431023791d5521d34.jpeg;
Покрывало;;Марианна;Россия;;П-ло-200-El-18-006;200х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565583;;;;;"Тональность изделия может отличаться от фото";;;;;"18-006 200х220 ""Elegant"" ультрастеп Покрывало Марианна";7;437;http://alvitek.com.ru/upload/iblock/7c9/7c9f862ebe7bfd2c92620bffcf5bf65d.jpeg;
Покрывало;;Марианна;Россия;;П-ло-200-El-18-002;200х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565569;;;;;"Тональность изделия может отличаться от фото";;;;;"18-002 200х220 ""Elegant"" ультрастеп Покрывало Марианна";7;437;http://alvitek.com.ru/upload/iblock/beb/bebe84b49bac297b72a2c1b76e22e4b3.jpeg;
Покрывало;;Марианна;Россия;;П-ло-200-El-18-012;200х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565606;;;;;"Тональность изделия может отличаться от фото";;;;;"18-012 200х220 ""Elegant"" ультрастеп Покрывало Марианна";7;437;http://alvitek.com.ru/upload/iblock/1e0/1e016e5323141e6c5d3b50a968d0b00a.jpeg;
Покрывало;;Марианна;Россия;;"П-ло 180-El-18-854";180х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565552;;;;;"Тональность изделия может отличаться от фото";;;;;"18-854 180х220 ""Elegant"" ультрастеп Покрывало Марианна";7;414;http://alvitek.com.ru/upload/iblock/394/3941363b4b6a3f5686f9338b8ce75e6d.jpeg;
Покрывало;;Марианна;Россия;;"П-ло 180-El-18-014";180х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565545;;;;;"Тональность изделия может отличаться от фото";;;;;"18-014 180х220 ""Elegant"" ультрастеп Покрывало Марианна";7;414;http://alvitek.com.ru/upload/iblock/bcd/bcdf867475d7e8a7b477da7994605407.jpeg;
Покрывало;;Марианна;Россия;;"П-ло 180-El-18-008";180х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565521;;;;;"Тональность изделия может отличаться от фото";;;;;"18-008 180х220 ""Elegant"" ультрастеп Покрывало Марианна";7;414;http://alvitek.com.ru/upload/iblock/919/9195a71f64a7c5f0dc4b7ab561d9978e.jpeg;
Покрывало;;Марианна;Россия;;"П-ло 180-El-18-004";180х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000925565507;;;;;"Тональность изделия может отличаться от фото";;;;;"18-004 180х220 ""Elegant"" ультрастеп Покрывало Марианна";7;414;http://alvitek.com.ru/upload/iblock/654/654d84a32c5746cc42e4467077b1ec47.jpeg;
Полотенце;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-9749 MAIRA";50х90;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925537528;;;;;"Тональность изделия может отличаться от фото";;;;;"9749 MAIRA  Хлопок 50х90 (6) 480гр. полотенце TWO DOLPHINS";2;979;http://alvitek.com.ru/upload/iblock/3b5/3b5ee5844b30f73b391448f544eeabd1.jpeg;
Полотенце;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-9761 MAIRA";70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925537573;;;;;"Тональность изделия может отличаться от фото";;;;;"9761 MAIRA  Хлопок 70х140 (6) 480гр. полотенце TWO DOLPHINS";3;2073;http://alvitek.com.ru/upload/iblock/038/038f68405a4d28b64daeb2ea7f2db454.jpeg;
Полотенце;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-9757 ELA";70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925537566;;;;;"Тональность изделия может отличаться от фото";;;;;"9757 ELA  Хлопок 70х140 (6) 480гр. полотенце TWO DOLPHINS";4;2073;http://alvitek.com.ru/upload/iblock/5dc/5dccc1cd6281247bfacef90a6d920c0e.jpeg;
Полотенце;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-9745 ELA";50х90;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925537511;;;;;"Тональность изделия может отличаться от фото";;;;;"9745 ELA  Хлопок 50х90 (6) 480гр. полотенце TWO DOLPHINS";4;979;http://alvitek.com.ru/upload/iblock/621/6213ab27db36054e80a732b2bc4a8287.jpeg;
Наматрасник;Сахара;"AlViTek (АльВиТек)";Россия;;НВШР-080;80х200;;;;;;;;"Верблюжья шерсть,пэ";;;"300 гр/кв.м";;;Тик;"100% хлопок";;;;Резинка;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048007167;;Кремовый;;;"Тональность изделия может отличаться от фото";;;;;"НВШР-080  Наматрасник с резинкой ""Сахара"" 80х200";4;1023;http://alvitek.com.ru/upload/iblock/465/46547b562d0e5508139b8ac5c3612393.jpeg;"наматрасник на резинке с наполнителем из верблюжьей шерсти 300 г/кв.м, чехол (100 % хлопок)- ткань тик (бежевый) , окантовка косая бейка, бирка, постер, в чемодане"
"Комплект постельного белья";;СайлиД;Китай;;А-20-169;Двуспальное;;;"70х70 (2шт.)";180х215;200х215;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000925499857;;;;;"Тональность изделия может отличаться от фото";;;;;"A-169 КПБ 2 сп поплин ""САЙЛИД""";2;1582;http://alvitek.com.ru/upload/iblock/326/32683967bc4b63120b4a7ecdb3b89628.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;А-20-171;Двуспальное;;;"70х70 (2шт.)";180х215;200х215;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000925499864;;;;;"Тональность изделия может отличаться от фото";;;;;"A-171 КПБ 2 сп поплин ""САЙЛИД""";1;1582;http://alvitek.com.ru/upload/iblock/2fa/2fa72341c5e29b720e9b1c4a855a9d73.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;А-20-173;Двуспальное;;;"70х70 (2шт.)";180х215;200х215;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000925499871;;;;;"Тональность изделия может отличаться от фото";;;;;"A-173 КПБ 2 сп поплин ""САЙЛИД""";3;1582;http://alvitek.com.ru/upload/iblock/e0e/e0e582bf6fa1eec54eaf0d8d6a03af60.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;А-22-172(1);Евро;;;"70х70 (2шт.)";200х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000925500003;;;;;"Тональность изделия может отличаться от фото";;;;;"A-172(1) КПБ евро поплин ""САЙЛИД""";1;1829;http://alvitek.com.ru/upload/iblock/33d/33da9250bb1b1ae1d40f1682310450dc.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;А-22-172(2);Евро;;;"70х70 (2шт.)";200х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000925500010;;;;;"Тональность изделия может отличаться от фото";;;;;"A-172(2) КПБ евро поплин ""САЙЛИД""";1;1829;http://alvitek.com.ru/upload/iblock/28b/28b7335eda48e0fdc73e19631d78498f.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;А-22-173;Евро;;;"70х70 (2шт.)";200х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";;Прорезь(запах);Молния;;;;"Прямоугольная ПВХ";;;;;2000925500027;;;;;"Тональность изделия может отличаться от фото";;;;;"A-173 КПБ евро поплин ""САЙЛИД""";2;1829;http://alvitek.com.ru/upload/iblock/19e/19e7beac1a730c24c4278f1711a1e447.jpeg;
"Набор полотенец";;АРТЕКС;Китай;;АР-41943+K-234-небесный;32х72;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925503042;;;;;"Тональность изделия может отличаться от фото";;;;;"41943+K-234 Небесный 32х72х2шт в коробке Набор кухонных полотенец  АРТЕКС";34;216;http://alvitek.com.ru/upload/iblock/77f/77f200889dd16dec7fb6e3455ad4e639.jpeg;
Подушка;"""Лебяжий пух""";"AlViTek (АльВиТек)";Россия;Стандарт;ПЛП-5050;50х50;;Упругая;;;;;;"Искусственный ""Лебяжий пух""";;;"0,65 кг";;;Тик;"100% хлопок";Молния;;;;;Кант;Пакет;;;;;4607048006245;;"Голубой с перьями";;;"Тональность изделия может отличаться от фото";;;;;"ПЛП-5050  Подушка ""ЛЕБЯЖИЙ ПУХ"" 50х50";32;256;http://alvitek.com.ru/upload/iblock/c83/c830110b6ccd5290621d4b20cf8caefb.jpeg;"подушка чехол с молнией, ткань 100% хлопок- тик пуходержащий, наполнитель ""Лебяжий пух"" ( 0,65кг полое извитое высокосиликонизированное микроволокно), кант, уголок, бирка, фложок, постер, в пакете"
"Комплект постельного белья";;Экзотика;Россия;;Э-С5-семья-Суматра;"Семейное (2 пододеяльника)";;;"70х70 (2шт.)";143х215-2шт.;215х240;Обычная;;;;;;;;Сатин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000888597720;;;;;"Тональность изделия может отличаться от фото";;;;;"Суматра КПБ Семья сп сатин ""Экзотика """;1;2296;http://alvitek.com.ru/upload/iblock/c88/c883b2543af63cdb73654233fa322292.jpeg;
Одеяло;Бамбук;"AlViTek (АльВиТек)";Россия;Стандарт;ОСБ-ЛС-15;140х205;Свехлегкое;;;;;;;"Бамбуковое волокно,пэ";;;"100 гр/кв.м";;;Перкаль;"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048010051;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;"ОСБ-ЛС-15 Одеяло ""Бамбук-Лето-Стандарт"" 140х205";10;1119;http://alvitek.com.ru/upload/iblock/c3c/c3c17e0c538374e662d07c31b76025d3.jpeg;"одеяло с наполнителем из бамбукового волокна 100 г/кв.м, чехол - сатин или перкаль, окантовка-косая бейка, уголок, бирка, постер, в чемодане"
Одеяло;Бамбук;"AlViTek (АльВиТек)";Россия;Стандарт;ОСБ-ЛС-20;172х205;Свехлегкое;;;;;;;"Бамбуковое волокно,пэ";;;"100 гр/кв.м";;;Перкаль;"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048010068;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;"ОСБ-ЛС-20 Одеяло ""Бамбук-Лето-Стандарт"" 172х205";18;1327;http://alvitek.com.ru/upload/iblock/d8a/d8adbfbd92c2cc6ccbfc802158ca037e.jpeg;"одеяло с наполнителем из бамбукового волокна 100 г/кв.м, чехол - сатин или перкаль, окантовка-косая бейка, уголок, бирка, постер, в чемодане"
Одеяло;Бамбук;"AlViTek (АльВиТек)";Россия;Стандарт;ОСБ-ЛС-22;200х220;Свехлегкое;;;;;;;"Бамбуковое волокно,пэ";;;"100 гр/кв.м";;;Перкаль;"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048010075;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;"ОСБ-ЛС-22 Одеяло ""Бамбук-Лето-Стандарт"" 200х220";9;1641;http://alvitek.com.ru/upload/iblock/f39/f393c7817b5e27872f160d717b567a27.jpeg;"одеяло с наполнителем из бамбукового волокна 100 г/кв.м, чехол - сатин или перкаль, окантовка-косая бейка, уголок, бирка, постер, в чемодане"
Подушка;Холфит;"AlViTek (АльВиТек)";Россия;Стандарт;ПП-050;50х68;;Упругая;;;;;;"Холфит-шарики (7dх32)";;;"0,82 кг";;;Поликоттон;"50% хлопок/50% полиэстр";;;;;;Кант;"Пакет с ручкой";;;;;4607048000229;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"ПП-050 Подушка ""Стандарт"" 50х68";43;312;http://alvitek.com.ru/upload/iblock/77e/77ec598062d1f4989872421075b86ab9.jpeg;"подушка: чехол с молнией  ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м), наполнитель 0,82кг ""Холфит-шарики"" (полое  извитое силиконизированное волокно), кант, бирка, постер, в пакете с ручками"
Подушка;Антикризис;"AlViTek (АльВиТек)";Россия;;ПС-4060;40х60;;Средняя;;;;;;"Холфит-шарики (15dх64)";;;"0,35 кг";;;Полисатин;"100%  пэ";;;;;;;Пакет;;;;;4607048004388;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"ПС-04060 Подушка ""Антикризис"" 40х60";50;135;http://alvitek.com.ru/upload/iblock/3a9/3a93037b867026b54a174737b78800f3.jpeg;"подушка с наполнителем ""Холфит-шарики""   (350 гр. полое силиконизированное волокно 15Dx64  ), чехол - ткань ПЭ, без канта, бирка, в пакете без ручки"
Полотенце;;7-Я;Китай;;7-Я-8201;34х76;;;;;;;;;;;;;;Махра-лен;;;;;;;;Пакет;;"10 шт.";;;2000925529547;;;;;"Тональность изделия может отличаться от фото";;;;"100% хлопок";"8201 Flowers М-Л 34х75( 10 ) полотенце 7-Я";5;929;http://alvitek.com.ru/upload/iblock/33c/33c0dd4c5bf44400126ac722da2f9de9.jpeg;
Полотенце;;7-Я;Китай;;7-Я-9191;34х76;;;;;;;;;;;;;;Махра-лен;;;;;;;;Пакет;;"10 шт.";;;2000925529592;;;;;"Тональность изделия может отличаться от фото";;;;"100% хлопок";"9191 Ажур М-Л 34х75( 10 ) полотенце 7-Я";5;831;http://alvitek.com.ru/upload/iblock/d95/d951facc324091f4b7d16075b949140e.jpeg;
"Уголок детский";;7-Я;Китай;;ZH006-розовый;115х115;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;"1 шт.";;400г/м;2000925512952;;;;;"Тональность изделия может отличаться от фото";;;;;"ZH006 Розовый Уголок Семейка Медвежат с капюшоном М 115х115  (1шт) Полотенце 7Я";14;440;http://alvitek.com.ru/upload/iblock/f42/f42b6d23adbb6f14816aceb5a6a47ec0.jpeg;
"Уголок детский";;7-Я;Китай;;ZH006-голубой;115х115;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;"1 шт.";;400г/м;2000925512945;;;;;"Тональность изделия может отличаться от фото";;;;;"ZH006 Голубой Уголок Семейка Медвежат с капюшоном М 115х115  (1шт) Полотенце 7Я";15;440;http://alvitek.com.ru/upload/iblock/c19/c195ed8ea6d639fde9244f27fc9aea03.jpeg;
"Уголок детский";;7-Я;Китай;;ZH006-салатовый;115х115;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;"1 шт.";;400г/м;2000925512969;;;;;"Тональность изделия может отличаться от фото";;;;;"ZH006 Салатовый Уголок Семейка Медвежат с капюшоном М 115х115  (1шт) Полотенце 7Я";9;440;http://alvitek.com.ru/upload/iblock/6aa/6aa05decf7573effdf0b7c17ad87b8aa.jpeg;
Простыня;;7-Я;Китай;;7-Я-ZH025-розовый;110х115;;;;;;Обычная;;;;;;;;Махра-велюр;;;;;;;;Пакет;;;;420г/м;2000925512990;;;;;"Тональность изделия может отличаться от фото";;;;"100% хлопок";"ZH025 Розовая МВ Семейка медвежат 110х115 Простыня 7-Я";8;411;http://alvitek.com.ru/upload/iblock/76b/76b6bc0f124af033b1c55cb12f92cc45.jpeg;
"Комплект постельного белья";;Экзотика;Россия;;"Э-Б5-20-Бамбук Бежевый";Двуспальное;;;"70х70 (2шт.)";175х215;215х220;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925552187;;;;;"Тональность изделия может отличаться от фото";;;;;"Бамбук Бежевый КПБ 2сп (5) ""Экзотика"" Поплин";6;1021;http://alvitek.com.ru/upload/iblock/18c/18c7e29cbe7d44b5e3920e018f6d8492.jpeg;
Наматрасник;Гостиница;"AlViTek (АльВиТек)";Россия;;НФГ-Т-160;160х200;;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Поликоттон;"50% хлопок/50% полиэстр";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";Пакет;;;;;4607048007785;;Белый;;;"Тональность изделия может отличаться от фото";;;;;"НФГ-Т-160 Наматрацник ""Гостиница"" 160х200 (мин.10шт)";1;926;http://alvitek.com.ru/upload/iblock/610/610efedb00cd302f04198727e66379e9.jpeg;"наматрасник на резинке с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г./кв.м), чехол - ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м), окантовка- бейка ПЭ, бирка, пакет"
Наматрасник;Гостиница;"AlViTek (АльВиТек)";Россия;;НФГ-Т-070;70х200;;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Поликоттон;"50% хлопок/50% полиэстр";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";Пакет;;;;;4607048007747;;Белый;;;"Тональность изделия может отличаться от фото";;;;;"НФГ-Т-070 Наматрацник ""Гостиница"" 70х200 (мин.10шт)";2;459;http://alvitek.com.ru/upload/iblock/da3/da3898786f180ecde409ddd44ea3d5d3.jpeg;"наматрасник на резинке с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г./кв.м), чехол - ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м), окантовка- бейка ПЭ, бирка, пакет"
Покрывало;;CLEO;Китай;;CLEO-240/006-CH;240х260;;;"50х70+5 (2шт.)";;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925532820;;;;;"Тональность изделия может отличаться от фото";;;;;"240/006-CH MONIFICO 240х260+50х70+5х2шт Покрывало CLEO";4;2591;http://alvitek.com.ru/upload/iblock/d8d/d8d54d299d954bc321080a0d1e35c790.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/007-CH;240х260;;;"50х70+5 (2шт.)";;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925532837;;;;;"Тональность изделия может отличаться от фото";;;;;"240/007-CH MONIFICO 240х260+50х70+5х2шт Покрывало CLEO";2;2591;http://alvitek.com.ru/upload/iblock/2c9/2c9916112c7b02ca36ca8b45bd464a95.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/008-CH;240х260;;;"50х70+5 (2шт.)";;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925532844;;;;;"Тональность изделия может отличаться от фото";;;;;"240/008-CH MONIFICO 240х260+50х70+5х2шт Покрывало CLEO";5;2591;http://alvitek.com.ru/upload/iblock/79c/79cafdca31ed96d99079b3de3935d07f.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/011-CH;240х260;;;"50х70+5 (2шт.)";;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925532875;;;;;"Тональность изделия может отличаться от фото";;;;;"240/011-CH MONIFICO 240х260+50х70+5х2шт Покрывало CLEO";4;2591;http://alvitek.com.ru/upload/iblock/15d/15d17c6e0d8b9b7bd05b5c11e227b7af.jpeg;
Покрывало;;CLEO;Китай;;CLEO-240/010-CH;240х260;;;"50х70+5 (2шт.)";;;;;;;;;;;;"100% микрофибра";;;;;;;"Чемодан на молнии";;;;;2000925532868;;;;;"Тональность изделия может отличаться от фото";;;;;"240/010-CH MONIFICO 240х260+50х70+5х2шт Покрывало CLEO";1;2591;http://alvitek.com.ru/upload/iblock/bf5/bf5ca712b92744abdcc27f47bec42a8a.jpeg;
Наматрасник;"Овечья шерсть";"AlViTek (АльВиТек)";Россия;Стандарт;НШР-120;120х200;;;;;;;;"Овечья шерсть,пэ";;;"300 гр/кв.м";;;Поликоттон;"50% хлопок/50% полиэстр";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";"Сумка оригинальная";;;;;4607048000953;;"Однотонный ,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"НШР-120  Наматрасник с резинкой ""Шерсть-Стандарт"" 120х200";18;763;http://alvitek.com.ru/upload/iblock/431/4310f21733c45c842d49a83a6c060a59.jpeg;"наматрасник на резинке с наполнителем из овечьей шерсти 300 г/кв.м, чехол - ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м), окантовка- бейка ПЭ, бирка, постер, в чемодане"
Наволочка;"Для беременных";"AlViTek (АльВиТек)";Россия;Стандарт;НС-U280-Салатовая;280х35;;;;;;;;;;;;;;Сатин;"100% хлопок";;Молния;;;;;"Пакет ПВХ";;"1 шт.";;;4607048012161;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;"НС-U280-Салатовая наволочка САТИН для подушки U280 ""ДЛЯ БЕРЕМЕННЫХ""";9;445;http://alvitek.com.ru/upload/iblock/603/6034db235d1dfdfaa2750166f9b6d62b.jpeg;
