"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;Фото;Описание
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-8;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514703;;;;;"Тональность изделия может отличаться от фото";;;;;"L-8 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1854;http://alvitek.com.ru/upload/iblock/fb2/fb2496ec3230e218e8b31b101bd9d420.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-9;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514710;;;;;"Тональность изделия может отличаться от фото";;;;;"L-9 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";3;1854;http://alvitek.com.ru/upload/iblock/9e7/9e71e1380d0a1f1c5294534404eb6123.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-11;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514611;;;;;"Тональность изделия может отличаться от фото";;;;;"L- 11 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";2;1854;http://alvitek.com.ru/upload/iblock/e38/e3864a84c0b73a24b0b41c74453fbed2.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-2;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514765;;;;;"Тональность изделия может отличаться от фото";;;;;"L-2 КПБ 2сп сатин Однотонный ""САЙЛИД""";1;2415;http://alvitek.com.ru/upload/iblock/b13/b135049466792e705623482c799dca8d.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-3;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514772;;;;;"Тональность изделия может отличаться от фото";;;;;"L-3 КПБ 2сп сатин Однотонный ""САЙЛИД""";1;2415;http://alvitek.com.ru/upload/iblock/1cd/1cda57e8b33d434e6adea5fc2226ceae.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-6;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514796;;;;;"Тональность изделия может отличаться от фото";;;;;"L-6 КПБ 2сп сатин Однотонный ""САЙЛИД""";1;2415;http://alvitek.com.ru/upload/iblock/cd5/cd5d4c7043b805bd8871abe34fd4e07f.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-7;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514819;;;;;"Тональность изделия может отличаться от фото";;;;;"L-7 КПБ 2сп сатин Однотонный ""САЙЛИД""";1;2415;http://alvitek.com.ru/upload/iblock/a80/a806d64796fdf2482a8f3800140ecb4d.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-8;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514826;;;;;"Тональность изделия может отличаться от фото";;;;;"L-8 КПБ 2сп сатин Однотонный ""САЙЛИД""";1;2415;http://alvitek.com.ru/upload/iblock/108/1080481e60751409217cb4b97e2eb8ac.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-10;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514727;;;;;"Тональность изделия может отличаться от фото";;;;;"L- 10 КПБ 2сп сатин Однотонный ""САЙЛИД""";1;2415;http://alvitek.com.ru/upload/iblock/942/94292758aa6c2eca14ee373f2fb8fb28.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-11;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514734;;;;;"Тональность изделия может отличаться от фото";;;;;"L- 11 КПБ 2сп сатин Однотонный ""САЙЛИД""";2;2415;http://alvitek.com.ru/upload/iblock/602/60235e80b454fc50e14e5ac12329b99c.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-евро-2;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514888;;;;;"Тональность изделия может отличаться от фото";;;;;"L-2 КПБ Евро сатин Однотонный ""САЙЛИД""";1;2724;http://alvitek.com.ru/upload/iblock/0a5/0a5d0f4099542ba498a9ff7a037bce7d.jpeg;
;;;;;7-Я-9803-А-384;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925552224;;;;;;;;;;"9803-А-384 Кухонное Ассорти М-Ве 34х75 (12) полотенце 7-Я";3;1033;http://alvitek.com.ru/upload/iblock/d44/d4476e940eb012d0e0b2caebb1e522c8.jpeg;
Наматрасник;Холфит;"AlViTek (АльВиТек)";Россия;;НФ-120;120х200;;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";"Пакет с ручкой";;;;;4607048003886;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"НФ-120  Наматрасник с резинкой ""Холфит-Традиция"" 120х200";6;403;http://alvitek.com.ru/upload/iblock/8cb/8cbd9182ef1431760703ab73e222d986.jpeg;"наматрасник на резинке с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г./кв.м), чехол - ткань 100% ПЭ, окантовка- бейка ПЭ, бирка, постер, в чемодане"
